Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
7/11/2019,2999.91,433609504,7/12/2019,917.19,1758744630,7/12/2019,8825.28,68882543,7/11/2019,24144.62,519086624,7/12/2019,6646.9,713098655,7/15/2019,3824.19,10120522162
7/12/2019,3013.77,422619276,7/15/2019,919.29,1804397963,7/15/2019,8871.27,38144201,7/12/2019,24154.16,530208602,7/15/2019,6604.87,565861497,7/16/2019,3806.85,8073095201
7/15/2019,3014.3,443283504,7/16/2019,919.77,1800307002,7/16/2019,8913.78,44417574,7/15/2019,24138.39,518882792,7/16/2019,6593.2,666257996,7/17/2019,3804.64,9518388459
7/16/2019,3004.04,429795268,7/17/2019,918.56,1787732118,7/17/2019,8867.99,39048814,7/16/2019,24170.9,861022217,7/17/2019,6623.74,644276562,7/18/2019,3768.4,8749644511
7/17/2019,2984.42,450359991,7/18/2019,910.75,1305723389,7/18/2019,8806.31,46597763,7/17/2019,24036.23,863606645,7/18/2019,6601.22,653193040,7/19/2019,3807.96,8808614862
7/18/2019,2995.11,462670449,7/19/2019,914.24,1518873059,7/19/2019,8833.69,45736657,7/18/2019,24028.89,567281045,7/19/2019,6652.08,608573884,7/22/2019,3781.68,9210137701
7/19/2019,2976.61,542235630,7/22/2019,916.21,1947510896,7/22/2019,8825.01,43126552,7/19/2019,23569.98,691620659,7/22/2019,6644.73,649159427,7/23/2019,3789.91,7131334591
7/22/2019,2985.03,454754463,7/23/2019,920.56,1553595103,7/23/2019,8943.25,44076104,7/22/2019,23671.34,424195468,7/23/2019,6677.22,722889967,7/24/2019,3819.83,9094068377
7/23/2019,3005.47,442632985,7/24/2019,925.87,1439232136,7/24/2019,8971.47,40055933,7/23/2019,23890.88,500086053,7/24/2019,6727.77,752488684,7/25/2019,3851.07,9374041726
7/24/2019,3019.56,511237434,7/25/2019,926.05,1472494127,7/25/2019,8917.15,49868622,7/24/2019,24022.53,602422676,7/25/2019,6768.16,844725419,7/26/2019,3858.57,8325929960
7/25/2019,3003.67,535005428,7/26/2019,928.21,1683763284,7/26/2019,8945.63,28206750,7/25/2019,23841.39,775181332,7/26/2019,6743.53,798428588,7/29/2019,3854.27,8481437000
7/26/2019,3025.86,467251910,7/29/2019,929.92,2417560156,7/29/2019,8933.78,29946526,7/26/2019,23786.79,606465827,7/29/2019,6776.09,621926055,7/30/2019,3870.32,9412395542
7/29/2019,3020.97,439791578,7/30/2019,932.36,1439362731,7/30/2019,8785.18,38934197,7/29/2019,23651.11,437472098,7/30/2019,6794.3,717410612,7/31/2019,3835.36,8215115508
7/30/2019,3013.18,445105355,7/31/2019,931.46,1706363927,7/31/2019,8816.47,43279597,7/30/2019,23193.66,632846224,7/31/2019,6762.68,914744704,8/1/2019,3803.47,8411418046
7/31/2019,2980.38,818335560,8/1/2019,931.77,1538365870,8/1/2019,8895.26,44377840,7/31/2019,23322.57,569721911,8/1/2019,6739.41,700153089,8/2/2019,3747.44,10833589691
8/1/2019,2953.56,675595461,8/2/2019,921.34,1383908613,8/2/2019,8678.18,60244051,8/1/2019,23496.38,490247797,8/2/2019,6719.55,741589909,8/5/2019,3675.69,10132598090
8/2/2019,2932.05,580375737,8/5/2019,907.25,1265179553,8/5/2019,8498.35,47131389,8/2/2019,22962.64,590846164,8/5/2019,6592.32,728886142,8/6/2019,3636.33,12983387102
8/5/2019,2844.74,766359274,8/6/2019,896.11,1554664453,8/6/2019,8466.01,51091549,8/5/2019,22691.83,560283317,8/6/2019,6430.04,1096664578,8/7/2019,3621.43,8423871611
8/6/2019,2881.77,588942375,8/7/2019,876.37,1381047338,8/7/2019,8532,57111082,8/6/2019,22539.28,483034549,8/7/2019,6471.84,774948877,8/8/2019,3669.29,8845770717
8/7/2019,2883.98,633122957,8/8/2019,884.94,1218851975,8/8/2019,8712.5,47809861,8/7/2019,22462.2,592522069,8/8/2019,6522.61,865209250,8/9/2019,3633.53,8529558002
8/8/2019,2938.09,653657391,8/9/2019,886.02,1587626313,8/9/2019,8622.86,42866633,8/8/2019,22767.79,505428215,8/9/2019,6539.21,791900661,8/12/2019,3699.1,8208305641
8/9/2019,2918.65,500491414,8/12/2019,876.6,1537238841,8/12/2019,8607.41,44902494,8/9/2019,22199.89,791613223,8/12/2019,6543.94,592468709,8/13/2019,3665.75,7650030186
8/12/2019,2883.75,399101617,8/13/2019,876.99,1714725909,8/13/2019,8599.49,67559409,8/12/2019,22119.59,433248769,8/13/2019,6523.23,829313922,8/14/2019,3682.4,9120259017
